,Nationality,Country.of.Nationality,Arrivals,Air,Sea,Rail,Road,Male,Female,X0...14.years,X15...24.years,X25...34.years,X35...44.years,X45...54.years,X55...64.years,X65.and.Above.years,Business.and.Professional,Leisure.Holiday.and.Recreation,Medical,Indian.Diaspora,Others,Average.duration.of.stay..in.days.
67,South East Asia,Singapore,175852,99.6,0.1,0,0.3,57.2,42.8,7.6,8,15.7,20.9,26.5,15.3,6.1,15.84,37.5,0.03,42.3,4.34,13.3
68,South East Asia,Thailand,140087,89.5,0.6,0,9.9,42.4,57.6,3.3,6.1,19.7,22.6,20.1,18.1,10.2,11.42,78.45,0.01,6.44,3.68,20.5
69,South East Asia,Vietnam,23771,80,5.2,0,14.8,45.8,54.2,1.5,5.8,27.5,23.5,16.4,16.3,8.9,15.34,77.48,0.07,2.5,4.61,16
70,South East Asia,Others,7851,84.2,0.1,0,15.6,52.8,47.2,2,7.9,25.3,19.1,13.4,17.5,14.7,7.61,74.25,9.49,4.02,4.64,22.7
71,South East Asia,Total,824575,94,2.2,0,3.8,51.1,48.9,5.8,8.7,20.4,21.3,20.5,15.8,7.5,11.42,66.89,0.43,17.21,4.05,15.9
72,East Asia,China,247235,98.4,1,0,0.6,63.7,36.3,1.4,7.2,40.2,26.9,15.3,6.1,3,49.34,45.55,0.01,3.96,1.14,19.6
73,East Asia,Japan,222527,99.3,0.2,0,0.5,73.1,26.9,3.4,5.8,18,23.7,26.7,14.7,7.6,62.64,32.97,0.01,3.59,0.78,17.4
74,East Asia,Rep.of Korea,142383,97.4,0.3,0,2.3,60.7,39.3,4.4,8,18.1,23.6,23.1,17.3,5.5,41.07,52.12,0,4.37,2.44,13.7
75,East Asia,Taiwan,47043,97.1,0.2,0,2.7,50.9,49.1,1.3,5.3,21.3,23.7,22.5,18.1,7.8,29.73,67.55,0.01,2.27,0.44,12
76,East Asia,Others,4107,97.2,0.1,0,2.7,54.8,45.2,3.4,9.1,26.6,26.3,18.3,10.9,5.4,9.66,52.62,6.85,18.68,12.19,33.3
77,East Asia,Total,663295,98.4,0.5,0,1.1,65.2,34.8,2.7,6.8,26.6,24.9,21.3,12.3,5.5,50.43,44.27,0.06,3.91,1.33,18.2
78,Australasia,Australia,324243,98.9,0.8,0,0.3,56.8,43.2,20,6.7,17.3,22.4,15.5,11.1,7,8.53,37.32,0.06,52.23,1.86,27.5
79,Australasia,New Zealand,56597,98.9,0.7,0,0.4,54.3,45.7,16.9,8.6,14.5,17.3,20,14.9,7.8,7.7,40.91,0.16,47.26,3.97,29.6
80,Australasia,Others,5219,98.9,0.8,0.1,0.2,52.5,47.5,4.5,7.3,20.4,20.7,19.6,19.3,8.3,5.01,53.6,20.81,14.26,6.32,33.6
81,Australasia,Total,386059,98.9,0.8,0,0.3,56.4,43.6,19.3,7,16.9,21.6,16.2,11.8,7.1,8.36,38.05,0.33,51.03,2.22,27.8
82,Not Classified elsewhere,Not Classified elsewhere,23456,95.8,1.1,0,3,59.6,40.4,4.4,6.8,25,26.8,20.6,11.9,4.5,12.98,58.19,1.15,7.77,19.92,34.8
83,Grand Total,Grand Total,10035803,79.6,0.7,0,19.7,59.4,40.59,9.4,8.5,19.1,21.1,19.9,13.8,8.2,13.78,59.01,4.93,19.33,2.95,21.1
